Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,92.0,-84.0,45.0,bottom
C2,100nF,C_0603_1608Metric,106.5,-79.5,135.0,bottom
C3,100nF,C_0603_1608Metric,111.0,-92.5,225.0,bottom
C4,20pF,C_0603_1608Metric,113.5,-80.5,315.0,bottom
C5,20pF,C_0603_1608Metric,112.0,-79.0,315.0,bottom
C6,100nF,C_0603_1608Metric,93.5,-93.5,315.0,bottom
C7,1uF,C_0603_1608Metric,96.0,-81.0,45.0,bottom
C8,10uF,C_0603_1608Metric,79.5,-86.35,90.0,bottom
C9,10uF,C_0603_1608Metric,79.5,-89.85,270.0,bottom
D1,1N4148W,D_SOD-123,19.0775,-9.835,270.0,bottom
D10,1N4148W,D_SOD-123,190.5275,-9.835,270.0,bottom
D11,1N4148W,D_SOD-123,209.5775,-9.835,270.0,bottom
D12,1N4148W,D_SOD-123,228.6275,-9.835,270.0,bottom
D13,1N4148W,D_SOD-123,247.6775,-9.835,270.0,bottom
D14,1N4148W,D_SOD-123,276.2525,-9.835,270.0,bottom
D15,1N4148W,D_SOD-123,23.84,-28.885,270.0,bottom
D16,1N4148W,D_SOD-123,47.6525,-28.885,270.0,bottom
D17,1N4148W,D_SOD-123,66.7025,-28.885,270.0,bottom
D18,1N4148W,D_SOD-123,85.7525,-28.885,270.0,bottom
D19,1N4148W,D_SOD-123,104.8025,-28.885,270.0,bottom
D2,1N4148W,D_SOD-123,34.0,-9.0,270.0,bottom
D20,1N4148W,D_SOD-123,123.8525,-28.885,270.0,bottom
D21,1N4148W,D_SOD-123,142.9025,-28.885,270.0,bottom
D22,1N4148W,D_SOD-123,161.9525,-28.885,270.0,bottom
D23,1N4148W,D_SOD-123,181.0025,-28.885,270.0,bottom
D24,1N4148W,D_SOD-123,200.0525,-28.885,270.0,bottom
D25,1N4148W,D_SOD-123,219.1025,-28.885,270.0,bottom
D26,1N4148W,D_SOD-123,238.1525,-28.885,270.0,bottom
D27,1N4148W,D_SOD-123,257.2025,-28.885,270.0,bottom
D28,1N4148W,D_SOD-123,281.015,-28.885,270.0,bottom
D29,1N4148W,D_SOD-123,26.22125,-47.935,270.0,bottom
D3,1N4148W,D_SOD-123,57.1775,-9.835,270.0,bottom
D30,1N4148W,D_SOD-123,52.415,-47.935,270.0,bottom
D31,1N4148W,D_SOD-123,71.465,-47.935,270.0,bottom
D32,1N4148W,D_SOD-123,90.515,-47.935,270.0,bottom
D33,1N4148W,D_SOD-123,109.565,-47.935,270.0,bottom
D34,1N4148W,D_SOD-123,128.615,-47.935,270.0,bottom
D35,1N4148W,D_SOD-123,147.665,-47.935,270.0,bottom
D36,1N4148W,D_SOD-123,166.715,-47.935,270.0,bottom
D37,1N4148W,D_SOD-123,185.765,-47.935,270.0,bottom
D38,1N4148W,D_SOD-123,204.815,-47.935,270.0,bottom
D39,1N4148W,D_SOD-123,223.865,-47.935,270.0,bottom
D4,1N4148W,D_SOD-123,76.2275,-9.835,270.0,bottom
D40,1N4148W,D_SOD-123,242.915,-47.935,270.0,bottom
D41,1N4148W,D_SOD-123,273.87125,-47.935,270.0,bottom
D42,1N4148W,D_SOD-123,30.98375,-66.985,270.0,bottom
D43,1N4148W,D_SOD-123,61.94,-66.985,270.0,bottom
D44,1N4148W,D_SOD-123,80.99,-66.985,270.0,bottom
D45,1N4148W,D_SOD-123,100.04,-66.985,270.0,bottom
D46,1N4148W,D_SOD-123,119.09,-66.985,270.0,bottom
D47,1N4148W,D_SOD-123,138.14,-66.985,270.0,bottom
D48,1N4148W,D_SOD-123,157.19,-66.985,270.0,bottom
D49,1N4148W,D_SOD-123,176.24,-66.985,270.0,bottom
D5,1N4148W,D_SOD-123,95.2775,-9.835,270.0,bottom
D50,1N4148W,D_SOD-123,195.29,-66.985,270.0,bottom
D51,1N4148W,D_SOD-123,214.34,-66.985,270.0,bottom
D52,1N4148W,D_SOD-123,233.39,-66.985,270.0,bottom
D53,1N4148W,D_SOD-123,269.10875,-66.985,270.0,bottom
D54,1N4148W,D_SOD-123,21.45875,-86.035,270.0,bottom
D55,1N4148W,D_SOD-123,45.27125,-86.035,270.0,bottom
D56,1N4148W,D_SOD-123,69.08375,-86.035,270.0,bottom
D57,1N4148W,D_SOD-123,140.52125,-86.035,270.0,bottom
D58,1N4148W,D_SOD-123,211.95875,-86.035,270.0,bottom
D59,1N4148W,D_SOD-123,235.77125,-86.035,270.0,bottom
D6,1N4148W,D_SOD-123,114.3275,-9.835,270.0,bottom
D60,1N4148W,D_SOD-123,259.58375,-86.035,270.0,bottom
D61,1N4148W,D_SOD-123,283.39625,-86.035,270.0,bottom
D7,1N4148W,D_SOD-123,133.3775,-9.835,270.0,bottom
D8,1N4148W,D_SOD-123,152.4275,-9.835,270.0,bottom
D9,1N4148W,D_SOD-123,171.4775,-9.835,270.0,bottom
F1,"500mA, 6V",Fuse_0805_2012Metric,38.25,-10.5,270.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,42.0,-4.46,180.0,bottom
J2,ISP,PinHeader_2x03_P2.54mm_Vertical,119.96,-94.77,270.0,bottom
KEY1,SW_Push,SW_MX_HotSwap_PTH,12.2375,-14.8,0.0,top
KEY10,SW_Push,SW_MX_HotSwap_PTH,183.6875,-14.8,0.0,top
KEY11,SW_Push,SW_MX_HotSwap_PTH,202.7375,-14.8,0.0,top
KEY12,SW_Push,SW_MX_HotSwap_PTH,221.7875,-14.8,0.0,top
